"Data","Temp. Ins. (C)","Temp. Max. (C)","Temp. Min. (C)","Umi. Ins. (%)","Umi. Max. (%)","Umi. Min. (%)","Pto Orvalho Ins. (C)","Pto Orvalho Max. (C)","Pto Orvalho Min. (C)","Pressao Ins. (hPa)","Pressao Max. (hPa)","Pressao Min. (hPa)","Vel. Vento (m/s)","Dir. Vento (m/s)","Raj. Vento (m/s)","Radiacao (KJ/m2)","Chuva (mm)","p_rt1","p_inc100k","Nivel","Rt","Receptivo (Bool)","Nivel Inc.","Casos"
"2012-06-30",14.65,15.13,14.18,77.76,80.11,75.34,10.47,10.84,10.11,1012.37,1012.64,1012.1,0.92,180.49,3.3,809.41,32.4,0.16,0.08,1,0.37,0,0,5
"2012-07-31",13.16,13.63,12.71,77.12,79.34,74.89,8.89,9.26,8.55,1013.39,1013.67,1013.09,1.24,181.11,4.21,812.94,162,0.09,0.01,1,0.18,0,0,1
"2012-08-31",18.94,19.48,18.41,72.67,75.3,69.99,13.33,13.78,12.91,1014.43,1014.7,1014.19,1.17,141,3.92,1000.72,75.6,0.24,0.02,1,4.27,0,0,1
"2012-09-30",17.81,18.31,17.35,74.53,77.02,71.94,12.82,13.25,12.39,1012.07,1012.47,1011.7,1.81,152.4,5.76,1086.57,250.4,0.19,0.01,1,3.7,0,0,1
"2012-10-31",20.84,21.33,20.37,75.55,77.98,73.03,15.98,16.41,15.58,1007.23,1007.59,1006.88,1.71,163.06,5.37,1227.02,121,0.46,0.07,1,1.88,0.25,0,4
"2012-11-30",22.88,23.49,22.3,68.24,71.35,65.07,16.06,16.68,15.47,1007.33,1007.58,1007.09,1.73,138.77,5.32,1741.54,27.4,0.63,0.13,1,2.04,0.75,0,8
"2012-12-31",25.17,25.76,24.63,69.52,72.32,66.6,18.58,19.13,18.09,1003.74,1004.06,1003.42,1.7,167.8,5.35,1519.84,198,0.55,0.26,1.6,1.57,0.8,0.2,19
"2013-01-31",23.84,24.47,23.25,68.31,71.32,65.28,17.21,17.77,16.69,1007.82,1008.06,1007.59,1.75,144.79,5.3,1721.28,98.8,0.73,0.59,1.75,1.49,1,0.75,35
"2013-02-28",24.39,24.99,23.84,72.69,75.41,69.86,18.85,19.33,18.43,1006.35,1006.6,1006.09,1.72,162.16,5.3,1461.7,55.4,1,3.65,3.5,2.33,0.75,2,217
"2013-03-31",21.41,21.96,20.92,75.57,77.96,72.86,16.57,17.05,16.13,1010.04,1010.26,1009.76,1.5,158,4.73,1190.35,62.4,0.85,7.81,4,1.27,0.6,2,581
